#type: 		writing
#specification:	Blazon (bla) - Heraldic language
#scriptcode:	Latn
#source:	http://www.heraldry-scotland.co.uk/lindsay.html (last access: 24.03.2019); Short overview on the use of blazon in scottish heraldry: http://heraldry.sca.org/armory/bruce.html (last access: 24.03.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	Blazon, a formal description of heraldic arms, uses an own syntactic system and specific vocabulary. Here: a collection of Queen Mary's Roll. 

<line_108>	Argent, a chevron Gules between three stalks of wheat Vert
<line_109>	Argent, a chevron engrailed Gules between three griffins segreant Sable
<line_110>	Argent, on a bend Sable three fetter-locks Or
<line_111>	Azure, a lion rampant Argent ducally gorged Or
<line_112>	Argent, on a chief Sable a mullet Or in dexter
<line_113>	Argent, a chevron between three mascles all Sable
<line_114>	Argent, on a cross engrailed between two crosses crosslet fitchy in chief all Sable a mullet Argent
<line_115>	Argent, a lion's head erased Gules and on a chief Gules a crescent between two mullets all Argent
<line_116>	Gules, a cross Argent
<line_117>	Vert, on a chevron Argent three trefoils slipped Vert
<line_118>	Gules, a swoed in bend point upwards Argent
<line_119>	Gules, a saltire Argent and on a chief Argent three tasselled cushions lozengewise Gules
<line_120>	Argent, a chevron between three mullets all Gules
<line_121>	Quarterly: 1st and 4th Gules, a mullet Argent 2nd and 3rd Azure, a fess chequy Argent and Gules
<line_122>	Argent, on a fess Azure three cinquefoils Argent
<line_123>	Argent, a stringed hunting-horn Sable and on a chief Azure three mullets Argent
<line_124>	Argent, on a bend Gules a mullet Argent in chief
<line_125>	Argent, a bend Gules
<line_126>	Quarterly: 1st and 4th Argent, a fess chequy Argent and Azure, in chief three mullets Sable (Stewart) 2nd and 3rd ...., a lymphad .... (Lordship of Lorne)
<line_127>	Vert, a boar's head couped Argent
<line_128>	Argent, on a fess Azure between three boars' heads erased Sable as many cinquefoils Argent
<line_129>	Or, a fess chequy Argent and Azure surmounted by a bend engrailed Gules
<line_130>	Quarterly: 1st and 4th Azure, three hung-locks Or 2nd and 3rdGules, on a fess Argent three martlets Gules
<line_131>	Argent, an eagle displayed Sable surmounted by a bend Gules charged with three crescents Argent
<line_132>	Argent, on a saltire Sable five mascles Argent and a chief Sable
<line_133>	Azure, three water-bougets Or
<line_134>	Argent, a lion rampant Sable goutty Argent
<line_135>	Argent, a saltire engrailed Sable
<line_136>	Gules, a chevron between three fleurs-de-lis all Argent
<line_137>	Gules, three martlets Argent within a bordure Or
<line_138>	Argent, a fess Gules
<line_139>	Vert, a fess chequy Argent and Azure between three habergeons Argent and on a chief Argent three buckles Azure
<line_140>	Ermine, fretty Gules
<line_141>	Azure, three boars' heads erased Argent
<line_142>	Gules, a chevron between three crosses formy fitchy all Argent
<line_143>	Sable, a chevron between three boars' heads erased all Argent
<line_144>	Argent, a double-headed eagle displayed Sable beaked Gules charged on the breast with an inescutcheon Gules
<line_145>	Quarterly: 1st and 4th Argent, a cross engrailed Sable (Sinclair) 2nd and 3rd Gules, three martlets Or
<line_146>	Argent, a chevron engrailed between three boars' heads erased all Gules
<line_147>	Azure, a lion rampant Argent within a bordure compony Argent and Azure
<line_148>	Sable, a chevron between three fleurs-de-lis all Or
<line_149>	Sable, a fess between six mascles all Or
<line_150>	Gules, a sinister arm embowed and vambraced grasping a broken sword all Argent
<line_151>	Or, on a bend Sable three escallops Or
<line_152>	Argent, a lion rampant Azure within a bordure engrailed Azure charged with a tressure Argent
<line_153>	Azure, suspended in front of a tree eradicated Or, a hunting-horn Sable stringed Or all within a bordure engrailed Gules
<line_154>	Azure, an oak tree fructed and eradicated Or
